tree_number,models.80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20
11,bvardcst,-17.23332964,41.15237357,5.507691117,-0.018871739,6.087423969,NA,bcstdcst,-21.32020563,46.85093757,4.581165494,NA,4.500848069,NA,bvardcst,-74.36920315,154.9833043,3.701560165,-0.09875044,4.697620249,NA,bvardcst,-28.43858439,63.03610918,4.857775161,-0.213964032,5.479767519,NA,4.157947495,4.453263716,0.635614219,4.268856371,11.36885637,39.31164663,8.168856371,6.268856371,2.9,39,60,102,155,4.450024971,4.428505652,4.3704314,3.748324704,10.91312812,7.713128116,6.086081698,2.717225327,0.660383165,0.511962895,0.408536656,0.263946998,7.1,3.900000001,2.000000001
12,bvardcst,-17.73774542,42.51896911,4.308955696,-0.101968253,5.735279812,NA,bvardcst,-48.46035543,103.1844471,5.601891988,-0.132055329,7.179916341,NA,bvardcst,-58.63534915,123.4047765,4.97903565,-0.138192539,5.822906423,NA,bvardcst,-11.64772918,29.41790733,4.404111716,-0.250760177,4.130362651,NA,4.632148231,6.131443235,0.44382504,3.173401755,5.873401755,58.53212081,4.873401755,4.173401755,2.4,27,95,183,200,5.679108409,5.426408049,5.169529053,4.018144593,5.759404953,4.759404953,4.059404954,2.286003199,0.521549761,0.406347165,0.350644628,0.170510106,2.700000002,1.700000002,1.000000002
13,bvardcst,-29.52915553,65.98138798,3.181312863,-0.149526155,5.09904058,NA,bvardcst,-74.38895247,154.9762521,4.992641789,-0.129802782,6.469852361,NA,bvardvar,-81.50157908,171.142047,3.751748005,-0.19284714,5.053306864,6.687125878,bcstdcst,18.27274742,-32.51120913,4.462701723,NA,2.927936456,NA,4.833718375,6.276415933,0.414365959,3.548275165,6.448275165,139.3251969,5.348275165,4.548275165,2.7,30,125,293,353,5.84260506,5.592105806,5.323140399,4.226064894,6.343895649,5.243895649,4.443895649,2.595620485,0.391750798,0.394415379,0.359821092,0.175276972,2.900000001,1.800000001,1.000000001
14,bvardcst,-216.0048451,438.0735201,4.737850251,-0.07429062,5.89383193,NA,bvardcst,-275.4036238,556.8402601,5.682632729,-0.085543407,6.820951697,NA,bvardcst,-482.198624,970.417484,4.577443899,-0.107568719,5.237426684,NA,bvardcst,-68.45330734,142.9276673,4.472784138,-0.148757048,3.954553427,NA,4.883882136,6.099603793,0.393591344,4.097869491,7.397869491,336.0310012,6.197869491,5.297869491,3.1,380,731,1190,1144,5.767900226,5.567652828,5.341527885,4.299056535,7.269368961,6.069368962,5.169368962,2.97149947,0.473836501,0.452730397,0.352283626,0.192150822,3.300000001,2.100000001,1.200000001
15,bcstdcst,-342.8598696,689.7413998,4.316590094,NA,4.230610929,NA,bvardcst,-716.4095059,1438.832877,5.255410151,-0.059576805,6.087489508,NA,bvardcst,-933.7951126,1873.598943,4.994547519,-0.077998871,5.597134402,NA,bvardcst,-61.35258788,128.715032,5.24842403,-0.210346201,5.400431947,NA,4.855912054,5.321653909,0.547647307,4.447950107,9.747950107,178.7209502,7.447950107,6.047950107,3.2,557,1735,2757,2439,5.296092064,5.23157468,5.12774358,4.399171749,9.543352608,7.243352609,5.843352609,2.995402502,0.547181916,0.470328935,0.394999016,0.230003761,5.3,3,1.6
16,bvardcst,-50.25713834,106.6869386,6.098397363,-0.124897664,7.971922965,NA,bvardcst,-50.31869423,106.7262773,6.842457884,-0.138153742,8.392745059,NA,bvardcst,-75.07651709,156.2163587,5.710997793,-0.190256116,6.909198804,NA,bvardcst,86.92832904,-167.8016122,5.6243715,-0.254237198,5.01637107,NA,5.662078061,7.547682601,0.505825653,2.742035894,5.042035894,82.59104518,4.142035894,3.542035894,2,143,274,383,440,6.958577412,6.618924941,6.289601082,4.803209055,5.026354066,4.126354066,3.526354066,1.984318171,0.458705301,0.418671716,0.333102749,0.173700215,2.300000002,1.400000002,0.800000002
17,bcstdcst,-0.435502637,5.794082196,5.625364061,NA,6.056340783,NA,bcstdcst,3.306981813,-1.908081273,9.454717754,NA,9.756759144,NA,bcstdcst,-6.738226215,18.39952935,4.491354055,NA,4.456920124,NA,bvardcst,3.742927603,-0.940400661,6.278802849,-0.590202433,8.067633445,NA,6.391877201,7.749878615,0.769667534,2.262877195,4.662877195,37.42341751,3.762877195,3.062877195,1.6,16,20,16,48,7.53575205,7.321816614,7.016226233,5.487969662,0.921257308,2.685318476,2.744047641,1.305370942,0.159378086,0.589412236,0.489186346,0.201643866,2.4,1.5,0.8
18,bcstdcst,-18.92986545,42.8597309,2.737240266,NA,2.807368582,NA,bvardvar,-109.6738786,227.7971954,2.516301841,-0.032677692,3.011583926,104.2096343,bvardcst,-117.3886516,240.9824314,3.136433345,-0.052521062,3.92753749,NA,bvardcst,-215.2273558,436.5445992,2.335353237,-0.135395732,2.486975159,NA,2.462851504,2.679245127,0.343323037,7.328932264,17.62893226,53.42062452,13.12893226,10.22893226,5.1,15,94,121,271,2.672943097,2.649702758,2.599290263,2.214103062,17.54055892,13.04055893,10.14055892,5.01162666,0.770978809,0.493531132,0.480728217,0.205071912,10.29999998,5.799999984,2.899999984
19,bcstdcst,-3.89134305,14.7826861,4.004761558,NA,4.617079893,NA,bvardcst,-10.98311832,30.96623663,2.716918256,-0.308107955,4.666790402,NA,bvardcst,-18.30994132,43.15321598,4.820757898,-0.257716637,6.409828646,NA,bcstdcst,18.22825124,-32.28258945,5.664337666,NA,3.942761746,NA,5.378381687,6.566758787,0.823770679,2.075130646,4.575130646,11.62901911,3.575130646,2.975130646,1.4,7,12,49,72,6.415208549,6.221364075,6.000557151,4.494288181,1.883336693,3.513358702,2.913358702,1.338228056,0.588863188,0.363734922,0.32583723,0.201155854,2.500000001,1.500000001,0.900000001
20,bvardcst,-50.23044265,106.6592324,5.918656639,-0.109200265,7.77199907,NA,bvardcst,-23.69347257,53.45651037,7.906092837,-0.115489784,9.632562689,NA,bvardcst,-27.74353611,61.53008298,7.047475928,-0.143910975,8.256987615,NA,bvardcst,165.8104239,-325.5829331,6.406425918,-0.298860821,6.252227139,NA,7.057352203,8.013690575,0.773403584,2.748623007,5.648623007,132.556103,4.548623007,3.748623007,2,125,349,562,637,7.912172039,7.775996287,7.572397947,6.307361654,5.628362224,4.528362225,3.728362225,1.979739219,0.478922846,0.46922603,0.388032212,0.198330318,2.900000001,1.800000001,1.000000001
