tree_number,models.80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20
173,bcstdcst,-12.02117638,28.84235275,3.965277287,NA,4.078984737,NA,bcstdcst,-3.348270828,10.96320832,6.707102705,NA,6.676552768,NA,bvardcst,-7.177261187,20.79088601,6.958353887,-0.089593771,8.004590038,NA,bcstdcst,6.414959898,-8.529919795,6.27156498,NA,5.377331899,NA,6.430719127,6.778961529,0.981314888,3.025206734,8.725206734,48.92177488,6.025206734,4.525206734,2,18,48,59,43,6.777665372,6.760623919,6.699049494,5.826595518,7.943679728,5.243679729,3.743679729,1.568814442,0.675038533,0.570574457,0.473969594,0.292910659,5.7,3,1.5
174,bvardvar,-11.06840313,31.5161166,4.031461511,-0.068421346,5.285454766,6.180650946,bvardcst,-17.79647514,41.86567755,6.005617134,-0.045507518,6.55446984,NA,bvardcst,-26.28392487,58.77837606,5.587429323,-0.068657825,6.034070439,NA,bvardcst,21.99241899,-37.86889595,5.953061288,-0.146162842,5.723155046,NA,5.758405548,6.316614528,0.697932566,3.476274611,7.876274611,110.0281415,5.976274611,4.776274611,2.5,34,92,118,211,6.290725219,6.21910969,6.091317181,5.213263461,7.715300079,5.81530008,4.615300079,2.395829719,0.623322748,0.475783441,0.406759163,0.248446207,4.4,2.5,1.3
175,bcstdcst,-459.1896817,922.4107771,2.137042246,NA,2.029760981,NA,bvardvar,-793.15758,1594.364543,2.697657774,-0.068160772,3.352400924,30.77992538,bvardcst,-1121.294261,2248.606969,2.943187032,-0.071569987,3.408794345,NA,bvardcst,-710.984738,1427.986893,2.915781496,-0.093758345,2.655121027,NA,2.719666457,3.678628255,0.199964097,6.723426777,11.52342678,255.654383,9.723426777,8.423426777,5.2,385,815,1305,1382,3.311385321,3.152282172,2.996026044,2.378157106,11.43602236,9.636022357,8.336022359,5.112595582,0.442053907,0.40366307,0.355201088,0.206113664,4.799999994,2.999999991,1.699999991
176,bcstdcst,-6.743173223,20.48634645,2.825069508,NA,3.264953224,NA,bcstdcst,-2.208400528,11.41680106,5.942151772,NA,6.872779265,NA,bvardcst,-1.777068876,11.26842347,7.700118005,-0.141762192,10.54617796,NA,bcstdcst,-11.23316993,27.13300653,2.427842105,NA,1.662428564,NA,4.461472611,5.11091345,0.624949506,3.301101387,7.301101387,29.53644642,5.601101387,4.501101387,2.3,7,7,18,21,5.057593331,4.956639814,4.804120731,3.896824109,2.2177688,1.480785792,4.154316086,1.953214699,0.447189088,0.621737433,0.640451593,0.204425551,4.000000002,2.300000002,1.200000002
177,bvardcst,41.22994254,-76.30701884,10.21105301,-0.062280527,11.52429468,NA,bvardcst,19.12331058,-32.16270508,8.716239752,-0.109972528,10.01460409,NA,bvardcst,114.2382425,-222.4236216,9.050720242,-0.135502116,10.0467823,NA,bvardcst,183.3930734,-360.7247657,7.442722991,-0.381156938,6.846304161,NA,8.258654597,9.312542831,0.859231533,2.535842429,5.135842429,206.3849254,4.135842429,3.435842429,1.8,161,290,458,395,9.199672494,9.046016982,8.826190509,7.329275953,4.833789065,3.833789066,3.133789066,1.497946637,0.553089683,0.443846794,0.397528167,0.170085228,2.599999999,1.599999999,0.899999999
178,bvardcst,-431.648195,869.3232057,5.61714626,-0.113201301,7.457652502,NA,bvardcst,-746.3480106,1498.706055,5.861532448,-0.120373138,7.202299047,NA,bvardvar,-660.1617128,1328.333034,5.136140954,-0.15524716,6.170932448,27.98711102,bvardcst,710.5522698,-1415.099254,5.88594709,-0.222766088,5.636769595,NA,5.67134926,7.367406571,0.423609632,3.467247471,6.067247471,364.3305574,5.167247471,4.467247471,2.7,899,2396,4168,4545,6.803619546,6.541959426,6.257032791,5.019979775,6.061735911,5.161735911,4.461735912,2.694488441,0.441429917,0.413696166,0.368138659,0.20897313,2.599999999,1.699999999,0.999999999
179,bvardcst,9.597862464,-13.01925434,9.536547197,-0.109070001,11.70843092,NA,bvardcst,7.533647149,-8.963398193,9.046583817,-0.155937308,11.24352252,NA,bvardcst,35.1204081,-64.18651756,8.050521003,-0.206355043,9.767520213,NA,bvardcst,284.4454976,-562.8507941,7.671428658,-0.295124133,-6.95341855,NA,7.523463014,9.259545775,0.700317083,2.390379652,4.490379652,145.9994988,3.790379652,3.190379652,1.8,140,235,446,601,8.860641812,8.608263824,8.268131085,6.634536982,4.228192566,3.528192567,2.928192566,1.643629934,0.523962988,0.45269746,0.374871453,0.190818122,2.099999998,1.399999998,0.799999998
180,bvardcst,41.25867059,-76.47055755,9.02880428,-0.059738481,10.60413063,NA,bvardcst,124.5843462,-243.1505792,8.802790795,-0.088979715,-10.22340718,NA,bvardcst,379.61018,-753.209617,8.338725352,-0.108873489,9.259247276,NA,bvardcst,1156.466002,-2306.921946,8.53625397,-0.266248611,8.369222372,NA,8.404710827,9.075026477,0.94381808,2.760630369,6.260630369,231.6157649,4.760630369,3.860630369,2,517,1329,2238,2390,9.050386125,8.97352102,8.837673394,7.7008012,6.197090016,4.697090017,3.797090017,1.936459648,0.565978161,0.491958962,0.413253912,0.236494949,3.499999999,1.999999999,1.099999999
181,bcstdcst,-9.269067476,22.66313495,5.37760427,NA,5.057998527,NA,bcstdcst,29.0472744,-53.99110052,8.574411224,NA,8.190838165,NA,bvardcst,18.53378202,-30.7342307,9.541384783,-0.090858185,10.34119451,NA,bcstdcst,63.95724496,-123.7968429,8.166357048,NA,-5.941762549,NA,7.539396906,8.462259895,0.911624518,2.430705534,5.230705534,82.90053078,4.130705534,3.330705534,1.7,99,119,76,105,8.390384634,8.266337409,8.055989589,6.665734282,4.763679163,3.663679164,2.863679164,1.23297363,0.41506019,0.430678186,0.452635519,0.198296036,2.799999999,1.699999999,0.899999999
182,bvardvar,-270.2868443,548.6417158,4.146108831,-0.088329195,-5.456884245,13.75389764,bvardcst,-498.1764936,1002.368934,5.627507061,-0.087566416,6.70229963,NA,bvardcst,-619.9278091,1245.864803,5.52732965,-0.10841912,6.292479065,NA,bvardcst,228.1266037,-450.2437025,5.639685588,-0.22011557,5.561735855,NA,5.558500842,6.354539441,0.558645352,3.718418179,7.318418179,217.1354063,5.918418179,4.918418179,2.8,593,1509,2617,2529,6.247999025,6.12163508,5.94735215,5.024827352,7.160021243,5.760021243,4.760021243,2.641603065,0.493751225,0.441289292,0.373935818,0.217569989,3.599999999,2.199999999,1.199999999
183,bvardcst,-5.403728051,18.8074561,3.438667379,0.409167954,1.895989095,NA,bcstdcst,-6.000652777,16.80130555,6.425438217,NA,6.728501099,NA,bcstdcst,-7.809553291,20.32498893,4.23967708,NA,4.329119954,NA,bcstdcst,-16.62104741,37.81352339,2.005958782,NA,1.290430102,NA,3.273084606,3.684158034,0.522865813,4.194241397,10.0942414,18.65874572,7.594241397,5.994241397,2.9,16,18,20,24,3.665357908,3.614678788,3.523767225,2.875410792,1.503095695,2.692318394,4.920790098,2.204788356,0.224340724,0.518153882,0.55857157,0.165548262,5.900000002,3.399999999,1.799999999
184,bvardcst,-49.22492214,104.6165109,6.375489318,-0.056806163,7.712671767,NA,bvardcst,-33.00035682,72.05665769,7.382759123,-0.078440067,8.706974818,NA,bvardcst,-37.76101858,81.55425193,6.855528274,-0.108870267,7.842772613,NA,bvardcst,194.8786542,-383.7224247,6.898538222,-0.292536051,6.973982861,NA,6.452381816,6.939647913,0.901208239,2.947372018,7.447372018,61.19765958,5.447372018,4.247372018,2,148,433,749,692,6.931204612,6.88844534,6.788653979,5.795300463,7.365400205,5.365400205,4.165400205,1.918028187,0.550084074,0.503234745,0.41072605,0.217717841,4.500000001,2.500000001,1.300000001
185,bvardcst,-64.97906544,136.1650274,5.173834291,-0.127660437,7.068040262,NA,bvardcst,-144.2131585,294.5085087,4.802947432,-0.162557249,6.34763485,NA,bvardcst,-173.1323997,352.3050679,4.957860763,-0.17118279,5.878733821,NA,bvardcst,133.1003981,-260.162701,5.613702514,-0.230562705,4.830423487,NA,5.239126529,6.687434851,0.50468511,3.03126472,5.63126472,79.94485976,4.63126472,3.93126472,2.2,120,296,600,634,6.297503697,6.041527997,5.767838448,4.484207797,5.621330324,4.621330323,3.921330323,2.190065604,0.435751406,0.365398817,0.316423906,0.170937012,2.599999998,1.599999998,0.899999998
186,bcstdcst,-26.74958231,57.68098281,4.170044046,NA,4.095698703,NA,bvardcst,-49.80054645,105.8485156,5.227654418,-0.07331763,6.42489289,NA,bvardcst,-78.82313446,163.7475347,5.178681968,-0.074724907,5.758172468,NA,bvardcst,-7.088007181,20.30233015,5.135137067,-0.184490131,5.094919814,NA,4.907324343,5.296869318,0.664853231,3.925515862,9.625515862,69.57889248,7.125515862,5.525515862,2.7,69,101,241,194,5.288064352,5.250462379,5.16241639,4.41700518,9.500688089,7.00068809,5.400688091,2.606438996,0.516862896,0.505428473,0.402132336,0.234589911,5.700000002,3.200000002,1.600000002
187,bcstdvar,5.305900572,-3.611801143,3.913268128,NA,26.84495791,0.183162534,bvardcst,5.015284927,-3.775250706,8.533390823,-0.10270418,9.819128765,NA,bvardcst,38.11633797,-70.08633448,8.644055762,-0.119668017,9.512674918,NA,bvardcst,125.7539255,-245.4007081,9.404305648,-0.364354311,9.628886163,NA,7.97671789,8.951593556,0.97432901,2.275696282,4.975696282,78.17301007,3.875696282,3.175696282,1.6,28,98,168,228,8.881374368,8.746516965,8.545974744,7.068520303,1.048335155,3.651215057,2.972980121,1.397283839,0.134852664,0.462770362,0.409978647,0.239881922,2.7,1.6,0.9
188,bcstdcst,4.238207807,-3.14308228,10.17935636,NA,11.45156997,NA,bvardvar,-16.49237787,41.73947272,3.711953016,-0.198311755,6.142924256,3.661498756,bvardcst,1.18381573,3.885000119,8.097325843,-0.118085332,9.614922124,NA,bvardcst,37.07107724,-67.98731578,6.430493078,-0.330305093,6.411451445,NA,6.706567561,7.254590972,0.977530738,2.64244558,6.64244558,44.84279768,4.94244558,3.84244558,1.8,12,58,99,159,7.243609659,7.196732649,7.085018377,6.005920731,0.546604581,4.838724317,3.738724316,1.696278737,0.23934493,0.48898708,0.474778707,0.196406351,4,2.3,1.2
189,bvardcst,-26.06941515,58.5138303,5.557067973,-0.068423912,-6.667088825,NA,bvardcst,-53.79783791,113.800804,4.706583058,-0.104703453,5.5944737,NA,bvardcst,-59.53753023,125.1759008,5.633594784,-0.161527769,6.952480084,NA,bvardcst,70.96725679,-135.8682152,5.800000294,-0.258725162,5.325322908,NA,5.747894036,6.595167168,0.689870379,2.974572269,6.274572269,66.8287464,4.974572269,4.074572269,2.1,68,121,242,366,6.50820694,6.381956153,6.198472972,5.046167515,6.253586729,4.95358673,4.05358673,2.07901446,0.519627173,0.389752923,0.374916394,0.180799186,3.299999998,1.999999998,1.099999998
190,bvardcst,-10.97857796,28.36393557,7.513018225,-0.062746394,8.853677784,NA,bvardcst,1.694253408,2.682289645,7.332446268,-0.084273895,8.260478845,NA,bvardcst,36.56798217,-67.09160205,7.780909372,-0.132068043,8.951220149,NA,bvardcst,268.7008367,-531.3611328,8.351089747,-0.334719487,8.467566912,NA,8.277820831,9.012580784,0.929080379,2.698187314,6.098187314,203.9214705,4.698187314,3.798187314,1.9,63,343,545,596,8.981372906,8.897988199,8.748156371,7.470135898,6.024039867,4.624039868,3.724039867,1.825852553,0.573536753,0.448245742,0.407860592,0.227075849,3.399999998,1.999999998,1.099999998
191,bvardcst,-265.2939677,536.6862961,2.904230618,-0.065944686,3.781352561,NA,bvardcst,-488.3499904,982.7437765,3.132719379,-0.064201736,3.705526919,NA,bvardcst,-743.6611358,1493.350179,2.693718062,-0.080807228,3.045982988,NA,bvardcst,-411.6042805,829.2417103,2.655061745,-0.109361099,2.392848176,NA,2.859946372,4.543108146,0.162008675,6.128914743,10.02891474,307.2469081,8.628914743,7.528914743,4.8,248,552,864,728,3.648312394,3.420502619,3.201509544,2.455602773,9.73695397,8.33695397,7.23695397,4.508039227,0.429385789,0.392157507,0.311694789,0.183302433,3.899999986,2.499999989,1.399999989
192,bvardcst,9.011295191,-11.88851217,8.858504403,-0.050622223,10.06095359,NA,bvardvar,19.66284122,-31.1735912,5.434234111,-0.131110809,6.984923437,7.361912868,bvardcst,14.53471933,-23.0000745,7.601860644,-0.130107561,8.710924535,NA,bvardcst,202.6219871,-399.1980852,6.635156357,-0.208735189,5.506747746,NA,7.157758374,7.811267024,0.955649254,2.596105926,6.196105926,65.62307189,4.696105926,3.696105926,1.8,183,268,350,527,7.790319542,7.723429189,7.582857177,6.412769414,6.166638786,4.666638786,3.666638787,1.770532861,0.568627763,0.462356936,0.405511734,0.178966983,3.6,2.1,1.1
193,bvardcst,81.45294062,-156.8661461,9.3777775,-0.043712646,10.47596655,NA,bvardvar,237.7145235,-467.4003527,7.453605124,-0.083347766,8.526506231,32.35126926,bvardcst,444.1096574,-882.2072727,9.045478232,-0.102573317,10.06162263,NA,bvardcst,968.7035257,-1931.394756,8.743801913,-0.233173751,8.491681392,NA,8.623881732,9.296516783,0.87645607,2.996376256,6.596376256,499.9887128,5.096376256,4.096376256,2.2,608,1399,1997,1956,9.267843635,9.189750181,9.040023819,7.944717596,6.320504312,4.820504312,4.000313567,2.103937311,0.559132694,0.481281406,0.432819428,0.248847607,3.599999999,2.099999999,1.099999999
194,bvardcst,-164.1955788,334.4619541,5.708693929,-0.094062594,7.393712668,NA,bvardcst,-383.7105169,773.4466475,5.438245094,-0.121111617,6.899438654,NA,bvardcst,-553.9025771,1113.819214,4.982668886,-0.134380339,5.863257774,NA,bvardcst,14.96809815,-23.92216941,5.106406715,-0.245917894,5.148626316,NA,5.093423336,6.446967318,0.439460273,3.551819376,6.451819376,176.478242,5.351819376,4.551819376,2.7,343,941,1711,1715,6.068531378,5.833299903,5.574765072,4.478870291,6.370798139,5.27079814,4.47079814,2.618978763,0.471366524,0.418475971,0.346842866,0.202581498,2.9,1.8,1
195,bvardcst,-7.115164709,20.98032942,7.22989671,-0.115194848,9.446291678,NA,bvardcst,-41.78097456,89.79052054,5.091018857,-0.189259241,6.712257964,NA,bvardcst,14.62740135,-23.14765985,7.303580975,-0.152227244,8.30607684,NA,bcstdcst,46.90257017,-89.74264034,4.892460697,NA,2.656180391,NA,6.541276706,7.862710722,0.704541175,2.531312525,5.031312525,75.94798932,4.031312525,3.331312525,1.8,36,109,228,195,7.635672164,7.403430266,7.110632858,5.650577503,4.735210637,3.735210637,3.035210637,1.503898112,0.560373394,0.365925215,0.368996989,0.12810452,2.500000001,1.500000001,0.800000001
196,bvardvar,-21.5444355,51.2811787,4.863470881,-0.066820522,6.279022039,6.178177533,bvardcst,-89.07302343,184.1947284,6.464294351,-0.060819507,7.355247805,NA,bvardcst,-49.91701221,105.8619964,6.94956818,-0.086579464,7.822526888,NA,bvardcst,263.2380435,-520.45182,6.636853135,-0.203153954,6.262750364,NA,6.801976969,7.289710259,0.736582373,3.671619713,8.371619713,341.8255417,6.371619713,5.071619713,2.6,213,497,862,993,7.274410584,7.222957455,7.115797568,6.215753611,8.05751056,6.057510561,4.757510561,2.285890848,0.572416382,0.483415826,0.431954556,0.223739803,4.700000002,2.700000002,1.400000002
197,bcstdcst,-12.46308406,29.06570301,6.753486744,NA,6.739724227,NA,bvardcst,-21.8789478,49.97807909,6.063810183,-0.033817031,6.630920884,NA,bvardcst,-10.35502927,26.84413676,6.808965994,-0.045443034,7.264506784,NA,bvardcst,-1.744342497,9.758347914,5.639871713,-0.208485657,5.871004675,NA,6.473967606,6.743444065,0.805787092,3.995900483,11.39590048,210.2087651,7.895900483,5.895900483,2.7,89,113,183,93,6.7427508,6.731810303,6.685150859,5.977812618,10.40001479,6.900014791,5.155526809,1.959626326,0.602552614,0.531138782,0.461284209,0.247790375,7.400000002,3.900000005,1.900000005
198,bvardcst,-17.707966,47.41593201,0.628996598,-0.112146443,1.373356447,NA,bvardcst,-56.13191064,119.3072995,0.616837046,-0.095230151,0.928549358,NA,bvardvar,-96.71327721,202.2428809,0.962571971,-0.110063352,1.422864309,23.23566497,bcstdcst,-106.6193199,217.3610887,1.385064263,NA,0.826932693,NA,1.366943262,2.603191987,0.09712649,7.666876548,13.46687655,19.81108743,11.36687655,9.766876548,5.7,8,27,54,101,1.899385665,1.740145258,1.595043021,1.106709439,13.31985644,11.21985644,9.619856439,5.552979891,0.109974407,0.197307773,0.209553738,0.153608006,5.800000019,3.700000019,2.100000017
199,bvardcst,-10.7659943,28.86532194,5.293831086,-0.085993496,6.926935367,NA,bvardvar,-30.16186027,69.09295131,2.711352887,-0.238393311,5.272910078,2.26929488,bvardcst,-43.53659615,93.34591957,4.67006829,-0.139265229,5.846025559,NA,bvardcst,-23.97373467,54.14101773,4.250021339,-0.216765798,4.323387981,NA,5.34550635,6.805561003,0.427525025,3.600411937,6.400411937,280.658992,5.300411937,4.600411937,2.8,22,57,92,128,6.364510637,6.099687106,5.853428582,4.749750856,5.96499634,5.091820313,4.391820312,2.591408376,0.602911378,0.436405897,0.379332967,0.212219685,2.799999999,1.699999999,0.999999999
200,bvardcst,66.65873494,-127.2203039,10.84827777,-0.070326658,12.96694583,NA,bvardcst,-37.238184,80.52342682,7.674480845,-0.111444268,9.219974854,NA,bvardcst,248.0459688,-490.070159,9.018300716,-0.119644036,10.18315761,NA,bvardcst,496.0969192,-986.1725429,8.251237773,-0.3010599,8.280402329,NA,8.166296965,9.006672576,0.929751924,2.551080529,5.551080529,152.9335692,4.351080529,3.551080529,1.8,251,514,1106,1131,8.955017257,8.849035487,8.675016995,7.317207025,5.549110815,4.349110815,3.549110815,1.798030287,0.597109179,0.456705711,0.427633227,0.230854478,2.999999999,1.799999999,0.999999999
201,bvardvar,-2.741104038,-26.51779192,2.293739715,1.641770022,3.73E-06,0.704530886,bcstdcst,-1.51384574,8.52769148,6.302444883,NA,6.897742244,NA,bvardcst,2.040877319,2.718245362,9.492174149,-0.147524536,11.5596949,NA,bcstdcst,5.641088218,-6.99646215,4.684929555,NA,3.027549547,NA,6.919620884,7.939785996,0.90778329,2.260365284,4.960365284,40.73808422,3.860365284,3.160365284,1.6,4,11,34,45,7.851841588,7.701071919,7.489125261,6.081911559,1.153870735,1.544531003,3.01928347,1.458918186,0.732382798,0.497549947,0.517811469,0.178305921,2.700000001,1.600000001,0.900000001
202,bvardcst,-109.484084,225.2130659,2.728896503,-0.02028129,3.147191243,NA,bvardvar,-182.2211427,372.6089522,3.251005024,-0.027124193,3.627654337,33.59468393,bvardcst,-248.102455,502.2972177,2.526149927,-0.041970758,2.717385114,NA,bvardcst,-76.74132745,159.6130897,4.033230371,-0.119751988,4.397753421,NA,3.07706047,3.25545429,0.488046651,5.950442495,17.15044249,37.8597665,11.85044249,8.850442495,4,102,245,264,188,3.254700114,3.245434939,3.21213239,2.793299209,17.14634071,11.84634071,8.846340704,3.99589821,0.562711186,0.494147567,0.361387525,0.296505492,11.19999999,5.899999991,2.899999996
203,bvardcst,-10.43228041,27.04917621,7.839171956,-0.100347642,9.850578241,NA,bvardcst,-14.29122705,34.65283532,7.900356232,-0.135355949,9.775535233,NA,bvardcst,120.0567175,-234.0811335,8.924048226,-0.148102711,10.4285061,NA,bvardcst,328.0643832,-650.1005643,7.606992118,-0.362712622,7.685057605,NA,7.700288809,8.749301671,0.815353581,2.601477869,5.301477869,164.9575579,4.201477869,3.501477869,1.9,134,345,747,855,8.633236692,8.464714633,8.245699483,6.890741504,5.241351846,4.141351847,3.441351846,1.839873977,0.531517582,0.453906064,0.41968593,0.20465101,2.699999998,1.599999998,0.899999998
204,bvardcst,-281.1523157,568.4277083,2.086762766,-0.066674298,2.878988607,NA,bvardvar,-623.771778,1255.628123,1.483505596,-0.112406027,2.280662518,3.851207762,bcstdcst,-987.1465149,1978.308316,1.605411058,NA,1.353508114,NA,bvardcst,-657.1806865,1320.394071,1.71479477,-0.172343688,1.616819642,NA,1.776940659,3.730279808,0.090504905,7.14815349,11.84815349,58.05746378,10.14815349,8.84815349,5.5,199,478,788,738,2.453722003,2.241397695,2.05549957,1.462715487,11.58341197,9.88341197,8.583411971,5.23525848,0.381756381,0.329821206,0.285780224,0.106028131,4.699999982,2.999999982,1.699999982
205,bcstdcst,-7.157184432,19.81436886,10.62842048,NA,10.77643374,NA,bvardcst,-32.34542274,71.10463858,5.203522463,-0.075993677,6.421764359,NA,bvardcst,-75.81902431,157.7938928,4.043620866,-0.070154644,4.3330751,NA,bcstdcst,5.703103093,-7.303642082,5.460833438,NA,4.624446777,NA,4.31635729,5.174833832,0.404141188,4.444989044,8.344989044,191.5144873,6.844989044,5.744989044,3.3,11,62,158,120,4.997327067,4.849380036,4.667192169,3.811216041,7.895064968,6.395064968,5.295064968,2.850075925,0.73782334,0.512050569,0.359508675,0.293917442,3.900000001,2.400000001,1.300000001
206,bvardcst,-67.9712673,142.4323305,2.760731415,-0.057931877,3.757900404,NA,bvardcst,-189.652908,385.4539641,2.215359678,-0.057063152,2.610048729,NA,bvardvar,-192.4352464,393.0977656,1.229797413,-0.278452624,5.411021227,0.342139231,bvardvar,-109.7242016,227.7341175,1.589010895,-0.559230039,4.851500934,1.317082319,2.175679954,2.640305103,0.342518444,5.072482487,11.17248249,10.86739826,8.772482487,7.072482487,3.5,53,166,181,145,2.582800302,2.50947328,2.406100744,1.84411721,10.99867923,8.718543728,7.018543728,3.446061241,0.446488749,0.361685921,0.279977383,0.143177756,6.100000001,3.699999998,1.999999998
207,bvardcst,-147.1221022,300.3018967,6.083451514,-0.048043173,7.334658959,NA,bvardcst,-355.1477826,716.3167105,5.732638192,-0.060770077,6.612332574,NA,bvardvar,-293.6115684,595.2451874,5.296239517,-0.089499206,-6.095686966,28.96871254,bvardcst,90.69978801,-175.3859396,5.171636137,-0.148953402,4.68636869,NA,5.481288428,6.017025337,0.550991543,4.389731782,9.189731782,398.1645356,7.189731782,5.889731782,3.2,420,1139,1819,1764,5.978975995,5.902491892,5.782595607,4.985106446,8.907467698,6.907467699,5.607467698,2.917735916,0.565384625,0.476416381,0.426542865,0.213785745,4.800000002,2.800000002,1.500000002
208,bcstdvar,-31.35576475,69.02731897,5.289618812,NA,5.325591181,298.79444,bcstdcst,-34.82259606,73.80519212,4.644848748,NA,4.630128623,NA,bvardcst,-58.66758723,123.506603,5.178935371,-0.038818884,5.820042442,NA,bcstdcst,15.09733357,-26.14226539,4.428000349,NA,2.811295936,NA,5.247076235,5.334741066,0.883153527,4.652050524,24.25205052,50.60429963,13.75205052,8.352050524,2.8,80,78,144,232,5.334741063,5.334712717,5.33140146,4.884777888,17.07258081,13.40864804,8.008648038,2.456597513,0.645506277,0.610999972,0.519739269,0.162937072,19.6,9.100000001,3.700000005
209,bvardcst,88.42140415,-170.7880138,10.69324551,-0.065315851,12.5236394,NA,bvardcst,121.7333021,-237.4465037,8.774585911,-0.097103512,10.16478781,NA,bvardcst,302.7871959,-599.560863,8.303206179,-0.120403575,9.260305636,NA,bvardcst,1099.912021,-2193.811561,9.078743362,-0.227945476,8.435725069,NA,8.533090424,9.409229022,0.862173033,2.753417134,5.753417134,356.1589705,4.553417134,3.753417134,2,442,1198,1778,1927,9.343271878,9.223625493,9.039285163,7.731661312,5.674041069,4.474041069,3.674041069,1.920623935,0.581440848,0.47463188,0.401634981,0.233260822,2.999999999,1.799999999,0.999999999
210,bvardcst,-3.836803484,14.02654814,8.58231542,-0.137081288,11.76962743,NA,bvardcst,7.313708207,-8.545783761,8.742934213,-0.150804655,10.82504862,NA,bvardcst,23.47596207,-40.90594713,7.529321545,-0.185584794,9.008045055,NA,bvardcst,308.7271837,-611.4099229,9.135123379,-0.34252531,9.052991482,NA,7.7716635,8.855859092,0.927826752,2.263613284,4.863613284,74.63157552,3.763613284,3.163613284,1.6,72,298,526,544,8.75871027,8.586282251,8.385475025,6.849028854,4.779795307,3.679795307,3.079795306,1.516182023,0.517814262,0.453593445,0.372514315,0.224857943,2.599999999,1.499999999,0.899999999
211,bvardcst,-48.52414337,103.2606761,5.406414342,-0.015467221,5.893601218,NA,bvardcst,-39.31828723,84.83329576,5.315619618,-0.020373988,5.634366216,NA,bvardcst,-64.31839563,134.8228378,4.887710284,-0.067099446,5.598883959,NA,bvardcst,-13.75588703,33.61177405,4.749767174,-0.155775741,4.397925607,NA,5.041976816,5.230455121,0.744066673,4.466361395,14.4663614,75.5649969,9.566361395,6.866361395,3,117,126,133,244,5.230344504,5.226216479,5.198853042,4.669268473,13.80711066,8.907110665,6.207110665,2.515717139,0.636210236,0.527122046,0.445017898,0.209748614,10,5.099999995,2.399999995
212,bcstdcst,-10.01348419,25.02696837,3.321205228,NA,3.41144888,NA,bcstdcst,3.675017213,-3.105136467,6.609261305,NA,6.434597491,NA,bcstdcst,-27.69867531,59.70504293,2.49728001,NA,1.9663308,NA,bcstdcst,11.68433294,-19.07598295,5.778301058,NA,4.109118134,NA,4.721115222,5.469185852,0.778590966,2.555112677,5.955112677,12.71551492,4.555113,3.655113,1.7,15,52,42,44,5.416186053,5.311545653,5.151505059,4.013430185,5.387363959,3.987363959,3.087363959,1.132251282,0.604719551,0.477982218,0.247287292,0.176664081,3.400000001,2.000000324,1.100000324
213,bvardvar,-72.03242841,152.4096844,3.062501098,-0.181193196,4.934784973,5.358374828,bvardcst,-131.6991997,269.5324776,3.691397514,-0.172462765,5.024740019,NA,bvardvar,-144.3455145,296.8129803,3.247305409,-0.197875104,3.993114664,12.40898319,bvardcst,-57.91996973,121.9375004,3.589850284,-0.453749915,4.070609491,NA,4.097860045,6.094516043,0.343051719,3.252907702,5.852907702,46.56909388,4.952907702,4.152907702,2.4,121,183,333,250,5.276162385,4.980149795,4.628238022,3.419206122,5.545781112,4.645781113,3.845781112,2.092873411,0.420246986,0.316753396,0.27628869,0.112913791,2.600000005,1.700000005,0.900000005
214,bvardcst,22.86147211,-39.10755961,17.52108528,-0.100504133,21.52037908,NA,bvardcst,19.33456101,-32.45094021,9.252424528,-0.130064271,11.06394317,NA,bvardcst,20.28413315,-34.3699192,9.728373032,-0.20854037,12.23042734,NA,bvardcst,98.08323267,-190.0527213,8.253332977,-0.466811608,8.551875283,NA,7.939983818,9.287264035,0.904103649,2.135326075,4.335326075,73.39387751,3.535326075,2.935326075,1.5,43,114,125,215,9.1029179,8.907291841,8.633621731,6.894405886,4.225317261,3.425317261,2.825317261,1.389991186,0.654432916,0.476228276,0.437325907,0.193322471,2.199999999,1.399999999,0.799999999
215,bcstdcst,-43.10774445,90.28734519,6.180781694,NA,6.046033734,NA,bvardcst,-18.06669506,42.1915015,7.325745578,-0.111313546,8.603329226,NA,bvardcst,55.60863462,-105.178684,7.682478135,-0.138149432,8.660797995,NA,bvardcst,286.5166763,-566.9975316,7.630751484,-0.278556616,7.25868452,NA,7.841293932,8.825527159,0.830007134,2.642797438,5.442797438,188.047375,4.342797438,3.542797438,1.9,170,417,626,674,8.729191079,8.585476313,8.359214446,7.002251345,5.156542656,4.056542656,3.256542655,1.653711297,0.524072298,0.43865098,0.383249467,0.209190231,2.800000001,1.700000001,0.900000001
