tree.number.20,median.shifts.20,ESS.shifts.20,ESS.logLik.20,root.lambda.mean.20,root.mu.mean.20,root.lambda.decay.20,root.mu.decay.20,tip.lambda.mean.20,tip.mu.mean.20,median.shifts.50,ESS.shifts.50,ESS.logLik.50,root.lambda.mean.50,root.mu.mean.50,root.lambda.decay.50,root.mu.decay.50,tip.lambda.mean.50,tip.mu.mean.50,median.shifts.80,ESS.shifts.80,ESS.logLik.80,root.lambda.mean.80,root.mu.mean.80,root.lambda.decay.80,root.mu.decay.80,tip.lambda.mean.80,tip.mu.mean.80,median.shifts.s20,ESS.shifts.s20,ESS.logLik.s20,root.lambda.mean.s20,root.mu.mean.s20,root.lambda.decay.s20,root.mu.decay.s20,tip.lambda.mean.s20,tip.mu.mean.s20
15,0,114.2513953,1796.209774,3.795479898,0.362281118,-0.361038757,-0.361038757,0.152755406,0.36898815,0,316,316,3.797271772,0.366986886,-0.358341503,-0.358341503,0.074547413,0.366990868,0,766,265.2273961,3.661344047,0.365487954,-0.346767695,-0.346767695,0.027198891,0.36550699,0,316,316,0.397997193,0.003665885,1.374652627,1.374652627,0.795613857,0.003953552
16,0,366.8538553,451,2.452346497,0.133085977,-0.526210754,-0.526210754,0.028951849,0.133868953,0,406,406,2.538284729,0.207926105,-0.461601847,-0.461601847,0.00901382,0.208098195,0,242.3941961,263.288862,2.323521158,0.438254044,-0.21927348,-0.21927348,0.033187886,0.438698367,0,231.377219,377.4744513,4.247925032,0.545783714,-0.668395684,-0.668395684,0.484880764,0.547786921
17,0,249.0918507,262.5418328,6.219183795,1.538698875,-0.461589094,-0.461589094,0.960309979,1.538723043,0,195.0795171,304.9250367,4.831250499,1.062413911,-0.457299623,-0.457299623,0.551078404,1.062683644,0,438.6110646,411.8082692,5.711385119,1.450670171,-0.441582,-0.441582,0.474683837,1.454159415,0,459.6465761,319.1216533,4.891294052,1.289960091,-0.282212832,-0.282212832,2.306867686,1.29212002
18,0,339.2823863,271,1.639557524,0.67588105,-0.13749374,-0.13749374,0.750001758,0.686251127,0,316,316,1.001199513,0.324844755,-0.076071487,-0.076071487,0.539117063,0.33664218,0,316,316,0.845997551,0.267962975,-0.188364562,-0.188364562,0.224097614,0.284224863,0,271,271,2.045753528,1.025970157,0.094861722,0.094861722,1.737206286,1.047958194
19,0,373.6810111,439.8386018,6.209253788,1.552495452,-0.551807038,-0.551807038,0.954922054,1.554103278,0,279.5128268,341.9092411,6.571350332,1.72934838,-0.535083942,-0.535083942,0.744008842,1.729817939,0,406,294.7034231,6.209857315,1.664539919,-0.521738328,-0.521738328,0.461677192,1.664788508,0,271,271,6.072945535,0.753948636,-0.705359576,-0.705359576,1.785670067,0.758735415
20,0,221.7414346,376.3286553,3.693040344,0.210115222,-0.577204873,-0.577204873,0.028119296,0.210402898,0,265.5331757,365.0094601,3.337111042,0.233869404,-0.499038528,-0.499038528,0.007999998,0.234060533,0,1576,274.3595935,3.207739746,0.441885872,-0.27875475,-0.27875475,0.017272565,0.442019918,0,316,316,4.272927848,0.174205485,-0.695742854,-0.695742854,0.401532615,0.175402516
21,0,361,265.3170758,3.564563213,0.114469432,-0.656602684,-0.656602684,0.01069478,0.115554716,0,604.3532105,260.0175316,3.901212552,0.396425036,-0.386274284,-0.386274284,0.015476684,0.396512389,0,2474.444825,322.4600442,3.320970257,0.647898636,-0.169106032,-0.169106032,0.049308193,0.647931512,0,316,316,3.546922943,0.247010725,-0.584078864,-0.584078864,0.5708406,0.252046242
22,0,361,361,7.039723989,0.645311511,-1.042808022,-1.042808022,0.305368331,0.647046982,0,316,256.0503915,7.597984557,1.093263608,-0.913670073,-0.913670073,0.240691919,1.093573093,0,206.6991164,271,5.97758,1.083336214,-0.75826721,-0.75826721,0.155731617,1.084340545,0,361,308.6244738,7.14347338,0.890215341,-0.860561075,-0.860561075,1.972666705,0.895270592
23,0,1306,256.5419339,2.524134081,0.407825298,-0.183424705,-0.183424705,0.02471209,0.407937393,0,4501,170.4801278,1.510781652,0.295289726,-0.074189327,-0.074189327,0.016058875,0.295268014,0,4501,279.5620296,0.870956538,0.192488593,-0.043741463,-0.043741463,0.013266699,0.192426105,0,266.2238334,406,3.254759532,0.240272747,-0.662004475,-0.662004475,0.348851873,0.253449459
24,0,406,406,1.746383268,0.525347129,-0.331918499,-0.331918499,0.357397589,0.518079173,0,287.1387047,328.8505916,1.202904127,0.424785628,-0.269458032,-0.269458032,0.249564667,0.434616129,0,0,4501,0.032,0.005,-0.024512419,-0.024512419,0.029366152,0.005,0,282.9213329,316,2.173183806,0.977081784,-0.228528253,-0.228528253,1.11113046,0.994641961
