tree.number,models80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.init.sim.80,lambda.final.sim.80,alpha.sim.80,mu.sim.80,netdiv.sim.80,ntip.80,lambda.init.sim.50,lambda.final.sim.50,alpha.sim.50,mu.sim.50,netdiv.sim.50,ntip.50,lambda.init.sim.20,lambda.final.sim.20,alpha.sim.20,mu.sim.20,netdiv.sim.20,ntip.20,lambda.init.sim.s20,lambda.final.sim.s20,alpha.sim.s20,mu.sim.s20,netdiv.sim.s20,ntip.s20,time.80,time.50,time.20,time.s20,decline.length.80,decline.length.50,decline.length.20,gamma.80,gamma.50,gamma.20,gamma.s20,cga.80,cga.50,cga.20,cga.s20
544,bcstdcst,-37.93621525,80.87243049,0.255301214,NA,0.14613886,NA,bcstdcst,-58.01083429,120.483207,0.64011651,NA,0.52800185,NA,bcstdcst,-72.68105228,149.6697969,0.929533946,NA,0.793115969,NA,bcstdvar,-70.82380026,148.076172,0.830636986,NA,0.00156846,-1.352646783,2.427197,0.568955925,0.08726114,1.020913,-0.451957075,15,2.427197,0.70150624,0.08726114,1.020913,-0.31940676,29,2.427197,0.828010603,0.08726114,1.020913,-0.192902397,42,2.427197,1.239646571,0.08726114,1.020913,0.218733571,60,16.62469,14.224689,12.324689,7.7,6.700001,4.3,2.4,0.145545915,0.25233715,0.282393414,0.033993173,12.67666377,10.27666277,9.625462927,6.225463927
545,bvardcst,-657.6136539,1321.282102,0.498724355,-0.573753591,1.838766476,NA,bvardcst,-1490.184273,2986.388902,0.921138124,-0.516348717,1.905331122,NA,bvardcst,-1930.653803,3867.319746,1.226575021,-0.523067577,-1.845278744,NA,bvardcst,-273.1227463,552.2566398,2.927479313,-0.504916886,2.291122018,NA,8.805352,0.603052846,0.5310798,1.939878,-1.336825154,442,8.805352,0.922298267,0.5310798,1.939878,-1.017579733,1183,8.805352,1.268406353,0.5310798,1.939878,-0.671471647,1981,8.805352,2.737333191,0.5310798,1.939878,0.797455191,2157,5.048413,4.248413,3.648413,2.2,2.2,1.4,0.8,-0.28865502,-0.104981248,-0.055855869,0.025412367,4.927730584,4.127730585,3.527730584,2.24505504
546,bvardcst,-24.09362971,56.03341327,-0.172026762,-0.546249719,-1.577599062,NA,bvardcst,-48.82786526,104.4557305,0.142987042,-0.771594704,1.22412211,NA,bvardcst,-106.878165,220.0896634,0.184938993,-0.87439668,0.690894527,NA,bvardcst,-42.11913745,90.54207238,0.940954605,-0.863688785,-2.24E-05,NA,4.578695,0.039195298,0.6697893,0.6107533,-0.571558002,17,4.578695,0.122388278,0.6697893,0.6107533,-0.488365022,34,4.578695,0.273402689,0.6697893,0.6107533,-0.337350611,76,4.578695,1.199416781,0.6697893,0.6107533,0.588663481,83,7.107627,5.407627,4.207627,2,4.1,2.4,1.2,-0.558780695,-0.564069398,-0.417674822,-0.646838514,6.641632717,4.941632717,3.741632717,8.064973953
547,bvardcst,-40.71684628,89.27984641,0.019990676,-0.260077539,0.329346021,NA,bvardcst,-96.893711,200.4360707,0.025141164,-0.355353326,0.29981457,NA,bvardcst,-152.7047193,311.7965354,0.074642713,-0.352079924,0.332116204,NA,bvardcst,-95.533135,197.4800631,0.319809114,-0.476546384,0.369813267,NA,1.947079,0.006821488,0.3108509,0.2083953,-0.201573812,17,1.947079,0.030330718,0.3108509,0.2083953,-0.178064582,41,1.947079,0.07706997,0.3108509,0.2083953,-0.13132533,66,1.947079,0.437904679,0.3108509,0.2083953,0.229509379,62,18.18881,13.388813,10.388813,4.8,10.999997,6.2,3.2,-0.695164053,-0.602122713,-0.426598015,-0.600000317,18.09995659,13.29995959,10.29995959,24.73597788
548,bvardvar,-124.1813522,256.8690335,0.315889368,-0.768206801,2.422890632,0.929710654,bvardcst,-217.6416221,441.4075966,1.375112449,-0.500885081,2.717219139,NA,bvardcst,-255.6839675,517.4602426,1.280093046,-0.611876641,-2.316534609,NA,bvardcst,-37.0246433,80.12823397,2.080364049,-0.614913798,0.531755703,NA,9.060777,0.489708695,0.6398602,1.877164,-1.387455305,84,9.060777,0.817048842,0.6398602,1.877164,-1.060115158,197,9.060777,1.125101997,0.6398602,1.877164,-0.752062003,264,9.060777,2.863963538,0.6398602,1.877164,0.986799538,308,4.560214,3.760214,3.260214,1.8,2.1,1.3,0.8,-0.240865775,-0.026657957,-0.068343989,-0.067999275,4.498688378,3.698688378,3.198688378,2.698688378
549,bvardcst,-128.9780632,264.2418406,0.002296247,-0.530242509,0.357294683,NA,bvardcst,-298.7964071,603.7254109,0.001444103,-0.900527288,0.112680661,NA,bvardcst,-488.6854447,983.4506236,0.017748238,-0.901623796,-0.072243469,NA,bvardcst,-202.08287,410.2484987,0.947134337,-0.787159093,0.675732465,NA,6.387297,1.51E-05,0.8905482,0.1732675,-0.173252443,88,6.387297,0.001688746,0.8905482,0.1732675,-0.171578754,185,6.387297,0.02044056,0.8905482,0.1732675,-0.15282694,305,6.387297,0.630580695,0.8905482,0.1732675,0.457313195,294,14.55057,9.250572,6.450572,2.6,10.499998,5.2,2.4,-0.901032771,-0.785679356,-0.637796664,-0.852216622,14.32561756,9.02561956,6.22561956,11.72561756
550,bvardcst,-11.02574552,36.05149103,0.010742223,-0.599247262,0.424408283,NA,bvardcst,-27.77995704,63.40606793,0.006522795,-0.921071307,0.023092839,NA,bvardcst,-43.7246389,94.49275607,0.138258313,-0.70387587,0.43151929,NA,bcstdcst,-16.19697378,36.87394756,1.492026359,NA,-1.31E-07,NA,6.13368,0.000398383,0.9841571,0.2910545,-0.290656117,7,6.13368,0.009290204,0.9841571,0.2910545,-0.281764296,17,6.13368,0.054622357,0.9841571,0.2910545,-0.236432143,27,6.13368,0.856826952,0.9841571,0.2910545,0.565772452,28,9.797107,6.597107,4.797107,2,6.7,3.5,1.7,-0.847876478,-0.679366315,-0.399607814,-0.778179602,9.509362454,6.309362455,4.509362455,7.509362455
551,bvardcst,-53.2096079,113.5620729,0.009458913,-0.367058372,0.30411159,NA,bvardcst,-137.5971313,281.622834,0.025433481,-0.407929769,0.23171389,NA,bvardcst,-236.2559849,478.7405412,0.092393382,-0.388483999,0.285042848,NA,bvardcst,-139.8976926,286.0196842,0.476643446,-0.349786145,0.001995817,NA,2.779037,0.005029387,0.4028688,0.2310305,-0.226001113,25,2.779037,0.027312518,0.4028688,0.2310305,-0.203717982,60,2.779037,0.077851567,0.4028688,0.2310305,-0.153178933,109,2.779037,0.511736981,0.4028688,0.2310305,0.280706481,111,15.67399,11.473995,8.873995,4.2,9.499995,5.3,2.7,-0.753379056,-0.578170614,-0.396022493,0.011754126,15.48301004,11.28301504,8.683015038,0.894888777
552,bcstdcst,-10.25813483,30.51626967,0.209107495,NA,-9.61E-08,NA,bvardcst,-35.48027457,78.10340629,0.402863064,-0.635922011,0.919191896,NA,bvardcst,-40.24225408,87.23450816,0.83673959,-0.700610159,1.757315253,NA,bcstdcst,-11.02273615,26.31213898,2.150116149,NA,-1.04E-06,NA,7.093621,0.209016975,0.7732908,1.337173,-1.128156025,5,7.093621,0.41921218,0.7732908,1.337173,-0.91796082,25,7.093621,0.720309333,0.7732908,1.337173,-0.616863667,36,7.093621,2.223894036,0.7732908,1.337173,0.886721036,48,4.55784,3.65784,2.95784,1.5,2.4,1.5,0.8,-0.611223155,-0.213412095,-0.132365342,-0.788737825,4.443050162,3.543050162,2.843050162,19.16796662
553,bvardcst,-55.21212087,116.9575751,0.007102321,-0.658372357,0.568548897,NA,bvardcst,-172.9823712,352.1698706,0.008057346,-0.98751586,0.349173971,NA,bvardcst,-262.6630687,531.457285,0.049721018,-1.03478286,0.40333129,NA,bvardcst,-117.7778845,241.6734161,0.812593872,-1.01597398,0.222184183,NA,6.023995,0.000273931,0.9691768,0.2667389,-0.266464969,49,6.023995,0.00739139,0.9691768,0.2667389,-0.25934751,121,6.023995,0.051350227,0.9691768,0.2667389,-0.215388673,187,6.023995,0.787005046,0.9691768,0.2667389,0.520266146,208,10.31637,6.916375,4.916375,2.1,7.099995,3.7,1.7,-0.895589037,-0.746389807,-0.592375856,-0.468294405,10.1177251,6.717730098,4.717730098,6.724339898
554,bvardcst,-20.20214902,50.40429804,0.097302063,-0.442526687,-0.649358201,NA,bvardcst,-94.33301724,195.1877736,0.254802034,-0.373460851,0.505027143,NA,bvardcst,-132.3069879,270.9177733,0.379597157,-0.359991304,0.380035403,NA,bvardcst,-59.73231486,125.8396297,0.791227596,-0.389991637,-5.90E-06,NA,4.125218,0.212096245,0.3733969,0.9098575,-0.697761255,10,4.125218,0.37134647,0.3733969,0.9098575,-0.53851103,50,4.125218,0.559963777,0.3733969,0.9098575,-0.349893723,83,4.125218,1.396917267,0.3733969,0.9098575,0.487059767,68,7.948202,6.448202,5.348202,2.9,3.9,2.4,1.3,-0.413195998,-0.224680113,-0.171844677,-0.106938236,7.765269553,6.265269554,5.165269553,4.865269554
555,bvardvar,-658.7954704,1325.723391,-0.000583476,-0.37989498,2.728884959,-0.00731657,bvardcst,-1574.973092,3155.980617,0.003164421,-0.454664399,0.119534591,NA,bvardcst,-2381.833619,4769.689816,0.022785991,-0.450006993,0.120144513,NA,bvardcst,-1367.12184,2740.267704,0.389168807,-0.463084917,0.200806672,NA,3.444128,7.28E-05,0.4613408,0.1169564,-0.116883572,307,3.444128,0.002786932,0.4613408,0.1169564,-0.114169468,701,3.444128,0.020261183,0.4613408,0.1169564,-0.096695217,1067,3.444128,0.359191658,0.4613408,0.1169564,0.242235258,1003,23.33216,15.432159,11.132159,4.9,16.000001,8.1,3.8,-0.867188777,-0.74111032,-0.572191148,-0.811269731,23.26204421,15.36204321,11.06204321,18.36204422
556,bvardcst,-47.59671451,102.9077147,0.02402821,-0.205448338,0.290911149,NA,bvardcst,-157.5256125,321.4797965,0.020630766,-0.292464267,0.140080851,NA,bvardcst,-209.1398721,424.5760404,0.047248596,-0.301379696,-0.103272254,NA,bvardcst,-133.8223341,273.9373511,0.380106595,-0.225899362,-0.008046912,NA,2.336445,0.003999921,0.2907906,0.170285,-0.166285079,18,2.336445,0.021603615,0.2907906,0.170285,-0.148681385,60,2.336445,0.059777406,0.2907906,0.170285,-0.110507594,85,2.336445,0.374055822,0.2907906,0.170285,0.203770822,86,21.90618,16.106178,12.606178,6.3,12.900002,7.1,3.6,-0.649267911,-0.559387031,-0.437288706,-0.51126737,20.43671889,14.6367169,11.1367169,14.1367189
557,bvardcst,-194.5642099,395.3130352,0.189038043,-0.773732346,1.291579636,NA,bvardcst,-468.9685405,944.0052627,0.34435827,-0.840921874,1.254074328,NA,bvardcst,-644.2329668,1294.506889,0.614312565,-0.801578088,1.231247154,NA,bvardcst,-88.47980857,183.001502,1.84595603,-0.920131887,0.813176117,NA,9.726102,0.174597009,0.7915315,1.263081,-1.088483991,134,9.726102,0.385296056,0.7915315,1.263081,-0.877784944,356,9.726102,0.619511283,0.7915315,1.263081,-0.643569717,590,9.726102,2.161718159,0.7915315,1.263081,0.898637159,577,5.078873,4.078873,3.478873,1.9,2.5,1.5,0.9,-0.482081047,-0.348530296,-0.229587716,-0.368885286,4.777476775,3.777476775,3.177476775,3.982010375
558,bvardcst,-507.6300998,1021.344707,0.106502625,-0.613147016,0.742358246,NA,bvardcst,-1081.313348,2168.662518,0.307894526,-0.588047285,0.990897493,NA,bvardcst,-1471.666864,2949.355586,0.553770928,-0.579773784,1.072496594,NA,bvardcst,-425.9579644,857.9407478,1.763183245,-0.63005111,1.454702061,NA,5.954753,0.133085346,0.5870606,0.9236108,-0.790525454,288,5.954753,0.285479266,0.5870606,0.9236108,-0.638131535,674,5.954753,0.484212539,0.5870606,0.9236108,-0.439398261,1102,5.954753,1.54334223,0.5870606,0.9236108,0.61973143,971,6.474552,5.174552,4.274552,2.3,3.3,2,1.1,-0.499737387,-0.311721827,-0.197885562,-0.361126666,6.382648064,5.082648065,4.182648065,4.479485703
559,bvardcst,-391.0721075,788.2508816,0.130711243,-0.637550284,0.83768577,NA,bvardcst,-943.3432899,1892.726315,0.367904397,-0.581004169,1.043352923,NA,bvardvar,-1233.02398,2474.090021,0.463212734,-0.654968362,1.121474317,1.900446151,bvardcst,-396.6192459,799.262882,1.900802239,-0.600790647,-1.544448488,NA,7.278031,0.217802995,0.5642073,1.118554,-0.900751005,229,7.278031,0.405134452,0.5642073,1.118554,-0.713419548,608,7.278031,0.636245715,0.5642073,1.118554,-0.482308286,956,7.278031,1.775961753,0.5642073,1.118554,0.657407753,988,6.219389,5.119389,4.319389,2.5,2.9,1.8,1,-0.479863197,-0.276358291,-0.189730053,-0.710919656,6.09377781,4.99377781,4.19377781,6.7896601
560,bvardvar,-2.980055821,-26.03988836,3.47E-05,-2.73804666,-6.56E-07,4.72567401,bvardcst,-34.20507036,75.55299786,0.233180469,-0.792227689,0.441820171,NA,bvardcst,-40.99878693,88.66424053,1.167049446,-0.656130858,2.322065934,NA,bvardcst,-13.33282307,33.06564614,2.147547198,-0.949859532,-1.924746086,NA,7.376907,0.318610261,0.7351969,1.605839,-1.287228739,4,7.376907,0.573711194,0.7351969,1.605839,-1.032127806,25,7.376907,0.891802114,0.7351969,1.605839,-0.714036886,40,7.376907,2.448704465,0.7351969,1.605839,0.842865465,64,4.273877,3.473877,2.873877,1.5,2.2,1.4,0.8,-0.844836139,-0.322481663,-0.068768778,-0.160925499,4.060168934,3.378013557,2.778013557,2.678013557
561,bcstdcst,-14.35548011,36.71096022,-0.154027793,NA,-3.23E-08,NA,bcstdcst,-33.4743124,71.80576766,0.335494116,NA,1.36E-07,NA,bcstdcst,-37.42854791,79.48867477,0.457248885,NA,-6.70E-07,NA,bcstdcst,-16.62271302,37.65921915,2.358713828,NA,-1.468929539,NA,4.495034,0.12806134,0.4373043,0.7692817,-0.64122036,6,4.495034,0.257803134,0.4373043,0.7692817,-0.511478567,17,4.495034,0.435703256,0.4373043,0.7692817,-0.333578444,22,4.495034,1.264644129,0.4373043,0.7692817,0.495362429,32,8.136712,6.536712,5.336712,2.9,4.1,2.5,1.3,-0.360321772,-0.080051691,-0.121757453,-0.170272669,7.192230265,5.592230266,4.392230266,4.292230266
562,bvardcst,-41.34540303,89.57969496,-0.031728588,-0.913921126,0.79239526,NA,bvardcst,-130.8839507,268.0437635,0.083320499,-0.96256911,0.482190238,NA,bvardcst,-179.9298248,366.0298623,0.255528008,-0.929080409,0.581463176,NA,bvardcst,-36.81012916,79.84044181,1.30460274,-0.79551749,0.021875969,NA,7.912578,0.019919299,0.966107,0.6452735,-0.625354201,31,7.912578,0.084846994,0.966107,0.6452735,-0.560426506,91,7.912578,0.222952014,0.966107,0.6452735,-0.422321487,145,7.912578,1.390218662,0.966107,0.6452735,0.744945162,113,6.194469,4.694469,3.694469,1.8,3.6,2.1,1.1,-0.718990228,-0.528672915,-0.371515841,-0.486875372,5.988943721,4.488943722,3.488943722,4.188943722
563,bvardcst,-110.7960848,227.925503,0.004023353,-0.691090123,0.357821028,NA,bvardcst,-278.8692601,563.8813774,0.009121064,-0.887465227,0.178210561,NA,bvardcst,-467.0068368,940.0972973,0.106867603,-0.758348885,0.503443839,NA,bvardcst,-190.9795168,388.0516977,0.685685821,-0.889423475,0.22809047,NA,5.277219,0.001249723,0.8048227,0.2975899,-0.296340177,76,5.277219,0.016417609,0.8048227,0.2975899,-0.281172291,172,5.277219,0.06989788,0.8048227,0.2975899,-0.22769202,291,5.277219,0.764773761,0.8048227,0.2975899,0.467183861,263,10.37276,7.17276,5.37276,2.4,6.8,3.6,1.8,-0.838204473,-0.700651208,-0.478880492,-0.100477351,10.32679165,7.126791651,5.326791651,1.836560456
564,bvardcst,-47.33854212,101.5659731,0.001251777,-0.869191121,0.236274118,NA,bvardcst,-138.4778281,283.2483391,-0.027496831,-0.823454892,0.434984299,NA,bvardcst,-198.4137508,403.0179777,0.099334524,-0.836554048,0.39752036,NA,bvardcst,-72.13896419,150.4813182,1.000125725,-0.779524119,0.390101642,NA,5.027063,0.001701894,0.8474238,0.3256325,-0.323930606,31,5.027063,0.019871182,0.8474238,0.3256325,-0.305761318,86,5.027063,0.08392227,0.8474238,0.3256325,-0.241710231,130,5.027063,0.848102258,0.8474238,0.3256325,0.522469758,122,9.429579,6.529579,4.829579,2.1,6.2,3.3,1.6,-0.813460677,-0.651148867,-0.483710757,-0.161084535,9.427578889,6.52757889,4.82757889,4.043540237
565,bvardvar,-484.0013449,976.1141104,-1.51E-06,-1.082201719,1.331699758,0.013589507,bvardcst,-1438.26607,2882.558747,0.001983565,-0.887750402,0.166797364,NA,bvardcst,-2351.938641,4709.893777,0.023688283,-0.87425065,0.172925761,NA,bvardcst,-1195.739372,2397.494938,0.559580261,-0.898279705,0.131299844,NA,7.636494,2.61E-05,0.8765193,0.1827517,-0.182725571,364,7.636494,0.002283095,0.8765193,0.1827517,-0.180468605,906,7.636494,0.024340316,0.8765193,0.1827517,-0.158411384,1459,7.636494,0.601115987,0.8765193,0.1827517,0.418364287,1486,14.3584,9.258395,6.558395,2.9,10.100005,5,2.3,-0.908169468,-0.786273085,-0.626435587,-0.919926108,14.33244974,9.232444748,6.532444748,12.99565485
566,bvardcst,-131.776533,269.8773903,0.126136035,-0.568346349,1.029966684,NA,bvardcst,-373.320133,752.7493568,0.20104694,-0.617566369,0.718493828,NA,bvardcst,-516.1589216,1038.384325,0.360327316,-0.631174468,0.706658169,NA,bvardcst,-148.211452,302.4934923,1.617154723,-0.597821193,0.96282432,NA,6.021123,0.070421149,0.638397,0.7473717,-0.676950551,78,6.021123,0.183476966,0.638397,0.7473717,-0.563894734,224,6.021123,0.347403224,0.638397,0.7473717,-0.399968476,365,6.021123,1.386746959,0.638397,0.7473717,0.639375259,344,6.96829,5.46829,4.46829,2.3,3.7,2.2,1.2,-0.529038187,-0.370820451,-0.271816087,-0.289323166,6.653617912,5.153617913,4.153617913,4.353617913
567,bvardcst,-37.27903727,81.70093168,0.088362553,-0.900396886,0.649694796,NA,bvardcst,-94.70011381,195.7584366,0.338524911,-0.712126983,0.605791666,NA,bvardcst,-117.1902736,240.5856754,1.115012038,-0.609458455,1.782505363,NA,bvardcst,-20.89716151,48.03432302,1.8200308,-0.452851655,0.003563874,NA,9.581091,0.192022477,0.8534267,1.367164,-1.175141523,25,9.581091,0.413929828,0.8534267,1.367164,-0.953234172,71,9.581091,0.690732399,0.8534267,1.367164,-0.676431601,121,9.581091,2.245585028,0.8534267,1.367164,0.878421028,104,4.581453,3.681453,3.081453,1.7,2.3,1.4,0.8,-0.517275104,-0.284660491,-0.082238815,-0.087915318,4.476514497,3.576514498,2.976514498,2.776514498
568,bvardvar,-581.2529829,1170.639299,0.045069909,-0.587760007,0.831058174,0.658500893,bvardcst,-1511.068237,3028.166214,0.177951593,-0.500056078,0.669723612,NA,bvardcst,-2198.278864,4402.575441,0.334641097,-0.496081972,0.694554371,NA,bvardcst,-1010.911211,2027.840522,1.002147506,-0.548334336,-0.550606325,NA,4.848345,0.080676808,0.4869844,0.654901,-0.574224192,305,4.848345,0.18462461,0.4869844,0.654901,-0.47027639,811,4.848345,0.331194531,0.4869844,0.654901,-0.323706469,1359,4.848345,1.124888826,0.4869844,0.654901,0.469987826,1330,8.410827,6.710827,5.510827,3,4.3,2.6,1.4,-0.558269698,-0.368236264,-0.249889332,-0.227626376,8.368859136,6.668859137,5.468859137,5.368859137
569,bvardcst,-191.6594745,389.4891617,0.058335139,-0.99007786,0.838951098,NA,bvardcst,-440.2933515,886.6589922,0.17392773,-0.987676441,0.830452564,NA,bvardcst,-649.0621634,1304.165849,0.430423361,-0.920361202,0.956472582,NA,bvardcst,-96.23599828,198.5121976,2.069441526,-1.005865137,1.679709208,NA,8.309431,0.077646155,0.9393785,0.9809136,-0.903267445,145,8.309431,0.21821447,0.9393785,0.9809136,-0.76269913,336,8.309431,0.421172857,0.9393785,0.9809136,-0.559740743,582,8.309431,1.848520399,0.9393785,0.9809136,0.867606799,601,4.974549,3.874549,3.174549,1.6,2.7,1.6,0.9,-0.636623694,-0.459224141,-0.302485904,-0.216930227,4.945411679,3.845411679,3.145411679,2.933652903
570,bcstdcst,-243.7164495,491.677797,0.022851227,NA,3.06E-08,NA,bvardvar,-237.3512697,483.0415224,-0.000217615,-0.390964043,-0.158033723,0.981386115,bvardcst,-361.1381389,728.4142088,0.000841671,-0.594128545,0.068316911,NA,bvardcst,-240.7990112,487.7391989,0.249064522,-0.61405821,0.077321316,NA,3.828635,7.68E-12,0.5948296,0.04471573,-0.04471573,52,3.828635,1.52E-06,0.5948296,0.04471573,-0.044714212,123,3.828635,0.000783084,0.5948296,0.04471573,-0.043932646,178,3.828635,0.26336224,0.5948296,0.04471573,0.21864651,174,45.28103,24.78103,14.28103,4.5,37.8,17.3,6.8,-0.961494866,-0.907072314,-0.790911737,0.057449096,44.93809974,24.43809975,13.93809975,1.536739063
571,bvardcst,-24.92658082,57.85316165,0.070193295,-0.861486018,0.519522237,NA,bvardcst,-45.50508264,97.83775148,0.11084982,-0.863972887,-5.60E-07,NA,bvardcst,-72.82522413,152.0140846,0.960979953,-0.549482335,-1.339667915,NA,bcstdcst,-7.999653564,20.20269696,2.518098891,NA,-0.267564407,NA,8.720071,0.19493058,0.7745948,1.250965,-1.05603442,16,8.720071,0.391419086,0.7745948,1.250965,-0.859545914,33,8.720071,0.673168168,0.7745948,1.250965,-0.577796832,70,8.720071,2.162698484,0.7745948,1.250965,0.911733484,62,4.906745,4.006745,3.306745,1.8,2.4,1.5,0.8,-0.523377683,-0.474841218,-0.086981431,-0.105628503,4.772965315,3.872965314,3.172965315,11.00143301
572,bvardcst,-452.0532419,910.214592,0.04980207,-0.460759855,0.557392979,NA,bvardcst,-1062.279913,2130.604855,0.095925675,-0.501292051,0.449291589,NA,bvardcst,-1639.56054,3285.146998,0.234588796,-0.476142799,0.527783185,NA,bvardcst,-774.3521482,1554.730555,0.843342378,-0.481556059,0.234845063,NA,5.379292,0.033637665,0.5028783,0.4834271,-0.449789435,226,5.379292,0.101694954,0.5028783,0.4834271,-0.381732146,537,5.379292,0.205615373,0.5028783,0.4834271,-0.277811727,930,5.379292,0.92541103,0.5028783,0.4834271,0.44198393,918,10.09124,7.891242,6.491242,3.5,5.299998,3.1,1.7,-0.601820552,-0.448122323,-0.29712674,-0.302495023,9.769312181,7.569314182,6.169314182,6.269312182
573,bvardcst,-1499.697234,3005.415688,0.004941668,-0.495336179,0.490893377,NA,bvardcst,-4595.603342,9197.214917,0.002648381,-0.869868367,0.210387129,NA,bvardcst,-7359.613878,14725.23293,0.023083559,-0.897828146,0.180321706,NA,bvardcst,-3307.235094,6620.475558,0.639499741,-0.906163875,0.171154956,NA,7.813194,1.94E-05,0.8952715,0.1793712,-0.179351797,1135,7.813194,0.002040306,0.8952715,0.1793712,-0.177330894,2919,7.813194,0.022881592,0.8952715,0.1793712,-0.156489608,4638,7.813194,0.637025013,0.8952715,0.1793712,0.457653813,4473,14.41561,9.215606,6.515606,2.8,10.200004,5,2.3,-0.911705781,-0.783954681,-0.631825305,-0.857027943,14.3606963,9.160692308,6.460692308,11.56069631
574,bvardcst,-125.7357624,257.7958491,0.087477731,-0.709365498,0.83448349,NA,bvardcst,-358.0373067,722.1789613,0.337053485,-0.63085482,1.064842573,NA,bvardcst,-464.3769627,934.8205921,0.432189926,-0.681971221,0.738134969,NA,bvardcst,-124.3384046,254.7459734,1.465065229,-0.52531985,0.060228667,NA,6.625143,0.094724526,0.6943524,0.8738429,-0.779118374,78,6.625143,0.233604863,0.6943524,0.8738429,-0.640238037,234,6.625143,0.436395189,0.6943524,0.8738429,-0.437447711,364,6.625143,1.541462925,0.6943524,0.8738429,0.667620025,351,6.117433,4.817433,3.917433,2.1,3.2,1.9,1,-0.564163956,-0.313042502,-0.253648023,-0.282329615,6.053425481,4.753425482,3.853425482,3.953425482
575,bvardcst,-48.90423384,104.4400466,0.546651007,-0.747555467,2.661006814,NA,bvardvar,-150.7795324,309.8790649,0.455856698,-1.027225749,-2.696710868,1.563443185,bvardcst,-202.2071422,410.5223925,1.082827334,-0.771167881,1.954017182,NA,bvardcst,-4.635551484,15.37545079,2.588325409,-1.042957668,-2.102785567,NA,9.843322,0.405381188,0.7551499,1.835602,-1.430220812,42,9.843322,0.741702151,0.7551499,1.835602,-1.093899849,130,9.843322,1.081952652,0.7551499,1.835602,-0.753649348,226,9.843322,2.940422903,0.7551499,1.835602,1.104820903,234,4.223957,3.423957,2.923957,1.6,2,1.2,0.7,-0.422574714,-0.240931747,-0.133648596,-0.957160851,4.107258015,3.307258015,2.807258015,24.56116657
576,bvardcst,-113.4778743,233.2557487,0.059035763,-0.901013425,0.906661498,NA,bvardcst,-321.9134631,649.932653,0.146000856,-0.930657404,0.729384283,NA,bvardvar,-469.2394952,946.5810313,0.38151194,-0.941500518,1.349909415,2.308556741,bvardcst,-82.29849936,170.6640378,1.437447534,-0.856217529,-6.10E-06,NA,9.37212,0.060092425,0.8906711,0.8694818,-0.809389375,84,9.37212,0.17498305,0.8906711,0.8694818,-0.694498751,231,9.37212,0.35681805,0.8906711,0.8694818,-0.51266375,397,9.37212,1.725409191,0.8906711,0.8694818,0.855927391,362,5.669445,4.469445,3.669445,1.9,3,1.8,1,-0.658305964,-0.471883339,-0.276152818,-0.225588737,5.480813186,4.280813187,3.480813187,4.316745171
577,bvardcst,-60.62411851,127.8968857,0.091046712,-0.806862806,0.929824168,NA,bvardcst,-165.3228557,336.8619276,0.228946546,-0.775718734,0.673279902,NA,bvardcst,-218.9256223,443.9802768,0.489621423,-0.740172069,0.72519195,NA,bvardcst,-37.98977603,82.1277002,2.252561374,-0.660458525,-1.6648191,NA,7.060111,0.111971401,0.7513007,0.9893176,-0.877346199,41,7.060111,0.275835406,0.7513007,0.9893176,-0.713482194,115,7.060111,0.503128141,0.7513007,0.9893176,-0.486189459,190,7.060111,1.693825269,0.7513007,0.9893176,0.704507669,166,5.515731,4.315731,3.515731,1.9,2.9,1.7,0.9,-0.585895852,-0.36940598,-0.244637073,0.002866853,5.257024782,4.057024782,3.257024782,4.877248078
578,bvardcst,-99.23720085,204.807735,0.151145679,-0.964357995,1.259324102,NA,bvardcst,-209.3647846,424.8724264,0.335366756,-0.966391256,1.29600348,NA,bvardcst,-290.2872436,586.6572459,0.542338852,-0.965061858,1.022908408,NA,bvardcst,-8.615991633,23.31306435,2.339349843,-1.010285733,-1.495276952,NA,9.267742,0.192228625,0.9056409,1.409648,-1.217419375,76,9.267742,0.396707066,0.9056409,1.409648,-1.012940935,172,9.267742,0.683059983,0.9056409,1.409648,-0.726588017,294,9.267742,2.382328614,0.9056409,1.409648,0.972680614,300,4.279411,3.479411,2.879411,1.5,2.2,1.4,0.8,-0.522819909,-0.371318219,-0.271489723,-0.247177441,4.119006001,3.319006002,2.719006002,2.619006002
579,bvardvar,-51.31011135,112.6202227,-5.12E-05,-0.45367284,-0.082401017,1.096807882,bvardcst,-117.6328189,241.7271763,0.005160027,-0.444989203,0.20316551,NA,bvardcst,-160.1267169,326.582201,0.013202464,-0.552005449,-0.050607039,NA,bvardcst,-82.33102655,171.0202621,0.528296791,-0.385048221,9.58E-07,NA,4.024176,2.82E-06,0.5923013,0.1008141,-0.100811278,25,4.024176,0.000618466,0.5923013,0.1008141,-0.100195634,56,4.024176,0.010617822,0.5923013,0.1008141,-0.090196278,77,4.024176,0.376482004,0.5923013,0.1008141,0.275667904,71,23.92453,14.824529,10.024529,4,17.700001,8.6,3.8,-0.891354275,-0.794544655,-0.62312089,-0.861269433,23.07696844,14.04157724,9.241577244,19.14157824
