tree.number,models80,likelihood.80,aicc.80,lambda.80,alpha.80,mu.80,beta.80,models.50,likelihood.50,aicc.50,lambda.50,alpha.50,mu.50,beta.50,models.20,likelihood.20,aicc.20,lambda.20,alpha.20,mu.20,beta.20,models.s20,likelihood.s20,aicc.s20,lambda.s20,alpha.s20,mu.s20,beta.s20,lambda.init.sim.80,lambda.final.sim.80,alpha.sim.80,mu.sim.80,netdiv.sim.80,ntip.80,lambda.init.sim.50,lambda.final.sim.50,alpha.sim.50,mu.sim.50,netdiv.sim.50,ntip.50,lambda.init.sim.20,lambda.final.sim.20,alpha.sim.20,mu.sim.20,netdiv.sim.20,ntip.20,lambda.init.sim.s20,lambda.final.sim.s20,alpha.sim.s20,mu.sim.s20,netdiv.sim.s20,ntip.s20,time.80,time.50,time.20,time.s20,decline.length.80,decline.length.50,decline.length.20,gamma.80,gamma.50,gamma.20,gamma.s20,cga.80,cga.50,cga.20,cga.s20
11,bvardcst,-29.16245398,66.03919367,0.005951472,-0.623906142,0.43197236,NA,bvardcst,-84.41235896,175.4100838,0.025525281,-0.648343897,0.297764964,NA,bvardcst,-122.9563377,252.2819061,0.127760417,-0.592993973,0.492847974,NA,bvardcst,-74.54486974,155.393537,0.98925327,-0.670238072,1.319459227,NA,4.239051,0.004676412,0.6410956,0.3217452,-0.317068788,18,4.239051,0.032002563,0.6410956,0.3217452,-0.289742638,45,4.239051,0.101472524,0.6410956,0.3217452,-0.220272676,69,4.239051,0.750797956,0.6410956,0.3217452,0.429052756,83,10.62176,7.621763,5.821763,2.7,6.599997,3.6,1.8,-0.785577588,-0.607898417,-0.417332647,-0.579497405,10.50604912,7.506052123,5.706052122,7.806049123
12,bvardcst,-1132.079715,2270.19457,0.081823335,-0.678287147,-0.795082903,NA,bvardcst,-2641.26221,5288.538835,0.222106801,-0.672158692,0.846948586,NA,bvardcst,-3426.255993,6858.52151,0.359107946,-0.704133263,0.786655342,NA,bvardcst,-1030.520034,2067.049841,1.468853185,-0.695215,-0.755716989,NA,7.796602,0.077557383,0.6876972,0.8036702,-0.726112817,687,7.796602,0.203119439,0.6876972,0.8036702,-0.600550761,1669,7.796602,0.37717967,0.6876972,0.8036702,-0.42649053,2524,7.796602,1.49662821,0.6876972,0.8036702,0.69295801,2460,6.70415,5.30415,4.40415,2.4,3.4,2,1.1,-0.574602898,-0.380037806,-0.292455912,-0.278794891,6.644690859,5.24469086,4.34469086,4.24469086
13,bvardcst,-626.388974,1258.829672,0.054377154,-0.91841036,0.870398806,NA,bvardcst,-1631.774654,3269.569292,0.130716315,-0.979918289,0.784355468,NA,bvardcst,-2492.557182,4991.125786,0.314857545,-0.951586072,0.800815843,NA,bvardcst,-538.2520311,1082.514279,1.659383603,-0.848962967,0.616583152,NA,9.339135,0.050565684,0.9492642,0.8722407,-0.821675016,468,9.339135,0.157967641,0.9492642,0.8722407,-0.71427306,1205,9.339135,0.337579678,0.9492642,0.8722407,-0.534661022,2105,9.339135,1.691368688,0.9492642,0.8722407,0.819127988,2353,5.497622,4.297622,3.497622,1.8,3,1.8,1,-0.659344444,-0.503746318,-0.355521069,-0.381551643,5.474701657,4.274701657,3.474701657,3.674701657
14,bcstdcst,-430.3996518,864.9146883,0.046864365,NA,-4.34E-08,NA,bvardcst,-1011.361476,2028.804864,0.088319087,-0.057949061,0.146986173,NA,bvardvar,-1390.78793,2789.664947,0.12666577,-0.052853879,0.137900425,1.211957884,bvardcst,-875.8420617,1757.747953,0.38115644,-0.052047133,0.356118978,NA,0.9966549,0.068538218,0.06273424,0.2173919,-0.148853682,107,0.9966549,0.10632827,0.06273424,0.2173919,-0.11106363,297,0.9966549,0.147340944,0.06273424,0.2173919,-0.070050957,454,0.9966549,0.306433529,0.06273424,0.2173919,0.089041629,380,42.67228,35.67228,30.47228,18.8,18.4,11.4,6.2,-0.275446479,-0.119885815,-0.047610494,0.008320995,41.75677323,34.75677323,29.55677323,22.95677323
15,bvardcst,-1789.588291,3585.20751,0.024135241,-0.355113927,0.353111188,NA,bvardcst,-4541.939434,9089.891037,0.072295284,-0.360728663,0.358300931,NA,bvardcst,-6513.24249,13032.49267,0.152524751,-0.364885249,0.371875992,NA,bvardcst,-3799.4751,7604.957734,0.581003832,-0.381206647,0.216222588,NA,3.920953,0.019036773,0.373542,0.3254763,-0.306439527,780,3.920953,0.062909996,0.373542,0.3254763,-0.262566304,1976,3.920953,0.137846847,0.373542,0.3254763,-0.187629453,3126,3.920953,0.628750311,0.373542,0.3254763,0.303274011,3190,14.2627,11.062705,8.962705,4.9,7.599995,4.4,2.3,-0.640895634,-0.451802522,-0.322717659,-0.353999511,14.17381454,10.97381955,8.873819551,9.273814552
16,bvardvar,-67.03670457,143.3637317,0.00028856,-0.452160277,0.20334851,0.788682525,bvardcst,-192.8821237,392.0195665,0.001731822,-0.593658877,0.157476837,NA,bvardcst,-308.512149,623.1853718,0.019450283,-0.577573731,0.108311214,NA,bvardcst,-158.1425522,322.4683105,0.440996763,-0.71579451,0.520939572,NA,3.456679,1.33E-05,0.6080551,0.1212431,-0.12122984,36,3.456679,0.001347419,0.6080551,0.1212431,-0.119895681,98,3.456679,0.016300841,0.6080551,0.1212431,-0.104942259,153,3.456679,0.411525395,0.6080551,0.1212431,0.290282295,135,20.50981,12.909805,8.809805,3.5,15.000005,7.4,3.3,-0.883477281,-0.788925738,-0.600833824,-0.858601618,20.23235337,12.63234837,8.532348379,16.73235337
17,bvardcst,-87.07276523,180.6455305,0.433935419,-0.47980525,1.578928693,NA,bvardcst,-211.5934761,429.3608653,0.541924737,-0.493377365,1.172225731,NA,bvardcst,-242.4059188,490.9324407,0.974046482,-0.481656827,1.664610671,NA,bvardcst,-65.93227997,137.9788456,2.388593716,-0.453823375,-1.85450781,NA,7.163593,0.335481477,0.5303678,1.404673,-1.069191523,52,7.163593,0.570169991,0.5303678,1.404673,-0.834503009,142,7.163593,0.826493461,0.5303678,1.404673,-0.578179539,203,7.163593,2.115234605,0.5303678,1.404673,0.710561605,214,5.771844,4.771844,4.071844,2.3,2.7,1.7,1,-0.264203546,-0.168954819,-0.071701587,-0.064904038,5.73235477,4.732354771,4.03235477,3.43235477
18,bvardcst,-25.77327177,60.54654353,0.090875973,-0.315249755,0.083328004,NA,bcstdcst,-46.61216569,97.72433138,0.452556698,NA,-5.28E-07,NA,bcstdcst,-43.8058155,92.07316947,0.568618927,NA,-2.25E-05,NA,bcstdcst,-14.63737465,33.98063164,1.392343632,NA,-0.289123633,NA,3.847623,0.170970314,0.408734,0.8418085,-0.670838187,12,3.847623,0.315636406,0.408734,0.8418085,-0.526172094,27,3.847623,0.494822116,0.408734,0.8418085,-0.346986384,29,3.847623,1.329425847,0.408734,0.8418085,0.487617347,20,7.617964,6.117964,5.017964,2.6,3.9,2.4,1.3,-0.28362444,-0.042162348,0.017893871,0.017893871,7.169784603,5.669784603,4.569784604,4.569784604
19,bvardcst,-77.50750635,161.548346,0.386714427,-0.560496354,1.643860286,NA,bvardcst,-184.246369,374.6773533,0.709691125,-0.549067806,1.714020962,NA,bvardcst,-236.214341,478.5429676,0.963422606,-0.568848403,1.648768949,NA,bvardcst,-51.17292365,108.4728314,1.584907741,-0.589403152,0.042867189,NA,6.913556,0.3551107,0.5510557,1.487979,-1.1328683,49,6.913556,0.616146816,0.5510557,1.487979,-0.871832184,134,6.913556,0.906167586,0.5510557,1.487979,-0.581811414,214,6.913556,2.296468991,0.5510557,1.487979,0.808489991,193,5.387495,4.387495,3.687495,2,2.6,1.6,0.9,-0.336018287,-0.15764811,-0.105177779,-0.132953368,5.080786312,4.080786313,3.380786313,3.080786313
20,bvardcst,-147.0618799,300.4164427,0.006796213,-0.322150843,0.382594972,NA,bvardcst,-414.7667719,835.650617,0.002750067,-0.581810384,0.162033655,NA,bvardcst,-681.2707591,1368.611286,0.022758313,-0.604631913,0.197612958,NA,bvardcst,-401.6385604,809.3451095,0.365945301,-0.684080436,0.01462216,NA,4.12729,2.46E-05,0.6130892,0.1313279,-0.131303313,86,4.12729,0.001796918,0.6130892,0.1313279,-0.129530982,209,4.12729,0.018463798,0.6130892,0.1313279,-0.112864102,348,4.12729,0.427069283,0.6130892,0.1313279,0.295741383,357,19.62345,12.623454,8.823454,3.7,13.999996,7,3.2,-0.904708143,-0.762745432,-0.609034295,-0.839405695,19.28523253,12.28523653,8.485236527,15.58523253
